1,가양라이품,38,34
2,개화산역주차장,322,269
3,개화역,483,403
4,구로디지털단지역,92,53
5,구파발역,399,323
6,남산예장자락,40,18
7,도봉산역,364,273
8,동대문공영주차장,1092,1046
9,마포유수지주차장,505,368
10,복정역공영주차장,322,265
11,사당노외,184,98
12,서울글로벌센터,38,34
13,세종로,1260,1085
14,수락산역,157,125
15,수서역남,18,15
16,수서역북,553,418
17,신대방역,60,23
18,신방화역,199,102
19,신설동,79,35
20,신천유수지,214,163
21,영등포구청역,137,89
22,용산주차빌딩,561,474
23,잠실역주차장,346,321
24,장안1동,74,5
25,적선노외,30,20
26,종묘,1617,1037
27,천왕역,328,252
28,천호역,1432,548
29,학여울역,180,127
30,한강진역,176,129
31,화랑대역주차장,319,269
32,훈련원공원,873,686
